Rk,Player,Nation,Pos,Squad,Age,Weekly Wages (GBP),Annual Wages (GBP),Name,Position,Annual Wages,Weekly Wages
,,,,,,,,Olabade Aluko,DF,£4.0M,"£76,923"
,,,,,,,,Oleksandr Zinchenko,DF,£4.7M,"£90,385"
,,,,,,,,Oliver Scarles,DF,£3.8M,"£73,077"
,,,,,,,,Oliver Skipp,MF,£3.9M,"£75,000"
,,,,,,,,Ollie Watkins,FW,£14.2M,"£273,077"
,,,,,,,,Omar Marmoush,FW,£9.2M,"£176,923"
,,,,,,,,Omari Hutchinson,MF,£10.2M,"£196,154"
,,,,,,,,Orel Mangala,MF,£4.5M,"£86,538"
,,,,,,,,Oscar Bobb,FW,£6.3M,"£121,154"
,,,,,,,,Pablo Sarabia,MF,£5.4M,"£103,846"
,,,,,,,,Pape Matar Sarr,MF,£6.6M,"£126,923"
,,,,,,,,Patrick Dorgu,DF,£5.6M,"£107,692"
,,,,,,,,Patson Daka,FW,£4.5M,"£86,538"
,,,,,,,,Pau Torres,DF,£7.1M,"£136,538"
,,,,,,,,Paul Onuachu,FW,£5.4M,"£103,846"
,,,,,,,,Pedro Lima,DF,£4.5M,"£86,538"
,,,,,,,,Pedro Neto,FW,£8.5M,"£163,462"
,,,,,,,,Pedro Porro,DF,£5.7M,"£109,615"
,,,,,,,,Pervis Estupiñán,DF,£10.4M,"£200,000"
,,,,,,,,Phil Foden,MF,£8.7M,"£167,308"
,,,,,,,,Philip Billing,MF,£5.1M,"£98,077"
,,,,,,,,Radu Drăgușin,DF,£4.5M,"£86,538"
,,,,,,,,Raheem Sterling,FW,£6.6M,"£126,923"
,,,,,,,,Ramón Sosa,FW,£5.7M,"£109,615"
,,,,,,,,Rasmus Højlund,FW,£11.8M,"£226,923"
,,,,,,,,Rayan Aït-Nouri,DF,£7.1M,"£136,538"
,,,,,,,,Raúl Jiménez,FW,£8.6M,"£165,385"
,,,,,,,,Reece James,DF,£3.8M,"£73,077"
,,,,,,,,Reiss Nelson,FW,£6.5M,"£125,000"
,,,,,,,,Remy Rees-Dottin,FW,£5.4M,"£103,846"
,,,,,,,,Renato Veiga,DF,£5.2M,"£100,000"
,,,,,,,,Ricardo Pereira,DF,£4.5M,"£86,538"
,,,,,,,,Riccardo Calafiori,DF,£5.7M,"£109,615"
,,,,,,,,Richarlison,FW,£6.3M,"£121,154"
,,,,,,,,Rico Henry,DF,£3.5M,"£67,308"
,,,,,,,,Rico Lewis,DF,£9.3M,"£178,846"
,,,,,,,,Robert Sánchez,GK,£9.4M,"£180,769"
,,,,,,,,Robin Olsen,GK,£3.3M,"£63,462"
,,,,,,,,Rodri,MF,£4.7M,"£90,385"
,,,,,,,,Rodrigo Bentancur,MF,£6.2M,"£119,231"
,,,,,,,,Rodrigo Gomes,DF,£5.5M,"£105,769"
,,,,,,,,Rodrigo Muniz,FW,£8.1M,"£155,769"
,,,,,,,,Romain Esse,MF,£5.7M,"£109,615"
,,,,,,,,Roman Dixon,DF,£3.3M,"£63,462"
,,,,,,,,Roméo Lavia,MF,£5.2M,"£100,000"
,,,,,,,,Ronnie Edwards,DF,£5.3M,"£101,923"
,,,,,,,,Ross Barkley,MF,£5.2M,"£100,000"
,,,,,,,,Ross Stewart,FW,£4.3M,"£82,692"
,,,,,,,,Ryan Christie,MF,£8.2M,"£157,692"
,,,,,,,,Ryan Fraser,FW,£5.2M,"£100,000"
,,,,,,,,Ryan Gravenberch,MF,£11.3M,"£217,308"
,,,,,,,,Ryan Manning,DF,£3.6M,"£69,231"
,,,,,,,,Ryan Sessegnon,FW,£9.2M,"£176,923"
,,,,,,,,Ryan Trevitt,MF,£4.6M,"£88,462"
,,,,,,,,Ryan Yates,MF,£6.7M,"£128,846"
,,,,,,,,Rúben Dias,DF,£7.4M,"£142,308"
,,,,,,,,Sam Johnstone,GK,£2.8M,"£53,846"
,,,,,,,,Sam Morsy,MF,£6.4M,"£123,077"
,,,,,,,,Sammie Szmodics,FW,£6.0M,"£115,385"
,,,,,,,,Samuel Amo-Ameyaw,FW,£4.7M,"£90,385"
,,,,,,,,Samuel Edozie,DF,£4.0M,"£76,923"
,,,,,,,,Sander Berge,MF,£7.3M,"£140,385"
,,,,,,,,Sandro Tonali,MF,£7.9M,"£151,923"
,,,,,,,,Santiago Bueno,DF,£4.7M,"£90,385"
,,,,,,,,Saša Lukić,MF,£8.1M,"£155,769"
,,,,,,,,Scott McTominay,MF,£4.1M,"£78,846"
,,,,,,,,Sean Longstaff,MF,£5.1M,"£98,077"
,,,,,,,,Sepp van den Berg,DF,£10.3M,"£198,077"
,,,,,,,,Sergio Reguilón,DF,£5.0M,"£96,154"
,,,,,,,,Shumaira Mheuka,MF,£4.0M,"£76,923"
,,,,,,,,Simon Adingra,FW,£4.9M,"£94,231"
,,,,,,,,Solly March,FW,£6.1M,"£117,308"
,,,,,,,,Son Heung-min,FW,£10.2M,"£196,154"
,,,,,,,,Stefan Ortega,GK,£3.1M,"£59,615"
,,,,,,,,Stephy Mavididi,FW,£5.5M,"£105,769"
,,,,,,,,Sven Botman,DF,£3.1M,"£59,615"
,,,,,,,,Sávio,FW,£9.3M,"£178,846"
,,,,,,,,Séamus Coleman,DF,£5.7M,"£109,615"
,,,,,,,,Taiwo Awoniyi,FW,£6.6M,"£126,923"
,,,,,,,,Takehiro Tomiyasu,DF,£3.4M,"£65,385"
,,,,,,,,Tariq Lamptey,DF,£4.7M,"£90,385"
,,,,,,,,Taylor Harwood-Bellis,DF,£8.0M,"£153,846"
,,,,,,,,Thiago,FW,£6.1M,"£117,308"
,,,,,,,,Thomas Partey,MF,£6.9M,"£132,692"
,,,,,,,,Tim Iroegbunam,MF,£4.4M,"£84,615"
,,,,,,,,Timo Werner,FW,£6.0M,"£115,385"
,,,,,,,,Timothy Castagne,DF,£4.1M,"£78,846"
,,,,,,,,Toby Collyer,MF,£5.9M,"£113,462"
,,,,,,,,Tom Cairney,MF,£3.7M,"£71,154"
,,,,,,,,Tom King,GK,£4.2M,"£80,769"
,,,,,,,,Tommy Doyle,MF,£3.8M,"£73,077"
,,,,,,,,Tomáš Souček,MF,£7.9M,"£151,923"
,,,,,,,,Tosin Adarabioyo,DF,£4.4M,"£84,615"
,,,,,,,,Toti Gomes,DF,£10.0M,"£192,308"
,,,,,,,,Trent Alexander-Arnold,DF,£6.7M,"£128,846"
,,,,,,,,Trevoh Chalobah,DF,£3.9M,"£75,000"
,,,,,,,,Tyler Adams,MF,£6.8M,"£130,769"
,,,,,,,,Tyler Dibling,FW,£8.3M,"£159,615"
,,,,,,,,Tyler Fredricson,DF,£3.8M,"£73,077"
,,,,,,,,Tyrell Malacia,DF,£4.7M,"£90,385"
,,,,,,,,Tyrick Mitchell,DF,£10.7M,"£205,769"
,,,,,,,,Tyrique George,FW,£5.7M,"£109,615"
,,,,,,,,Tyrone Mings,DF,£5.5M,"£105,769"
,,,,,,,,Valentino Livramento,DF,£6.3M,"£121,154"
,,,,,,,,Victor Bernth Kristiansen,DF,£8.5M,"£163,462"
,,,,,,,,Victor Lindelöf,DF,£4.8M,"£92,308"
,,,,,,,,Virgil van Dijk,DF,£8.5M,"£163,462"
,,,,,,,,Vitaliy Mykolenko,DF,£7.6M,"£146,154"
,,,,,,,,Vitaly Janelt,MF,£9.9M,"£190,385"
,,,,,,,,Vitezslav Jaros,GK,£3.9M,"£75,000"
,,,,,,,,Vitor Reis,DF,£4.8M,"£92,308"
,,,,,,,,Vladimír Coufal,DF,£5.2M,"£100,000"
,,,,,,,,Wataru Endo,MF,£3.7M,"£71,154"
,,,,,,,,Welington,DF,£4.4M,"£84,615"
,,,,,,,,Wes Burns,FW,£5.2M,"£100,000"
,,,,,,,,Wesley Fofana,DF,£3.6M,"£69,231"
,,,,,,,,Wilfred Ndidi,MF,£7.0M,"£134,615"
,,,,,,,,Will Alves,FW,£4.2M,"£80,769"
,,,,,,,,Will Hughes,MF,£6.8M,"£130,769"
,,,,,,,,Will Lankshear,FW,£5.2M,"£100,000"
,,,,,,,,William Osula,FW,£4.7M,"£90,385"
,,,,,,,,William Saliba,DF,£6.9M,"£132,692"
,,,,,,,,William Smallbone,MF,£4.2M,"£80,769"
,,,,,,,,Willian,FW,£4.8M,"£92,308"
,,,,,,,,Willy Boly,DF,£5.3M,"£101,923"
,,,,,,,,Wilson Odobert,FW,£4.5M,"£86,538"
,,,,,,,,Wout Faes,DF,£10.0M,"£192,308"
,,,,,,,,Woyo Coulibaly,DF,£4.3M,"£82,692"
,,,,,,,,Yankuba Minteh,FW,£8.6M,"£165,385"
,,,,,,,,Yasin Ayari,MF,£11.2M,"£215,385"
,,,,,,,,Yehor Yarmoliuk,MF,£4.0M,"£76,923"
,,,,,,,,Yerson Mosquera,DF,£3.8M,"£73,077"
,,,,,,,,Yoane Wissa,FW,£13.4M,"£257,692"
,,,,,,,,Youri Tielemans,MF,£8.5M,"£163,462"
,,,,,,,,Youssef Chermiti,FW,£6.7M,"£128,846"
,,,,,,,,Yukinari Sugawara,DF,£3.5M,"£67,308"
,,,,,,,,Yunus Emre Konak,FW,£5.6M,"£107,692"
,,,,,,,,Yves Bissouma,MF,£4.6M,"£88,462"
,,,,,,,,Zain Silcott-Duberry,FW,£5.1M,"£98,077"
,,,,,,,,Álex Moreno,DF,£5.2M,"£100,000"
,,,,,,,,İlkay Gündoğan,MF,£7.4M,"£142,308"
,,,,,,,,Łukasz Fabiański,GK,£4.2M,"£80,769"
