Rk,Player,Nation,Pos,Squad,Age,Weekly Wages (GBP),Annual Wages (GBP)
400,Connor Roberts,wls WAL,"DF,MF",Burnley,29,35000,1820000
401,Zeki Amdouni,ch SUI,"FW,MF",Burnley,24,35000,1820000
402,Jacob Murphy,eng ENG,"FW,MF",Newcastle United,30,35000,1820000
403,Marcus Bettinelli,eng ENG,GK,Manchester City,33,35000,1820000
404,Rico Henry,jm JAM,DF,Brentford,28,35000,1820000
405,Andrey Santos,br BRA,MF,Chelsea,21,35000,1820000
406,Bart Verbruggen,nl NED,GK,Brighton,22,35000,1820000
407,Jake O'Brien,ie IRL,DF,Everton,24,35000,1820000
409,Jair Cunha,br BRA,DF,Nottingham Forest,20,35000,1820000
410,Morato,br BRA,DF,Nottingham Forest,24,35000,1820000
411,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,27,35000,1820000
412,Tom Cairney,sct SCO,MF,Fulham,34,35000,1820000
413,Max Dowman,eng ENG,MF,Arsenal,15,35000,1820000
414,Lorenzo Lucca,it ITA,FW,Nottingham Forest,24,30500,1586000
415,Josh Dasilva,eng ENG,MF,Brentford,26,30000,1560000
416,Antonín Kinský,cz CZE,GK,Tottenham Hotspur,22,30000,1560000
417,Chadi Riad,ma MAR,DF,Crystal Palace,22,30000,1560000
418,Christantus Uche,ng NGA,FW,Crystal Palace,22,30000,1560000
420,Illan Meslier,fr FRA,GK,Leeds United,25,30000,1560000
421,Jayden Bogle,eng ENG,"MF,DF",Leeds United,25,30000,1560000
422,Karl Darlow,wls WAL,GK,Leeds United,34,30000,1560000
423,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,21,30000,1560000
424,David Møller Wolfe,no NOR,"MF,DF",Wolves,23,30000,1560000
425,Yerson Mosquera,co COL,DF,Wolves,24,30000,1560000
426,Eliezer Mayenda,es ESP,"FW,MF",Sunderland,20,30000,1560000
427,Robin Roefs,nl NED,GK,Sunderland,22,30000,1560000
428,Mike Trésor,be BEL,"FW,MF",Burnley,26,30000,1560000
429,Lewis Miley,eng ENG,"MF,DF",Newcastle United,19,30000,1560000
431,Antoni Milambo,nl NED,MF,Brentford,20,30000,1560000
432,Ethan Pinnock,jm JAM,DF,Brentford,32,30000,1560000
433,Nathan Collins,ie IRL,DF,Brentford,24,30000,1560000
434,Vitaly Janelt,de GER,MF,Brentford,27,30000,1560000
435,James Garner,eng ENG,"MF,DF",Everton,24,30000,1560000
436,Angus Gunn,sct SCO,GK,Nottingham Forest,29,30000,1560000
437,Benjamin Lecomte,fr FRA,GK,Fulham,34,30000,1560000
438,Nathan Patterson,sct SCO,DF,Everton,23,28000,1456000
441,Pablo,br BRA,"MF,FW",West Ham United,21,25000,1300000
442,Nilson Angulo,ec ECU,MF,Sunderland,22,25000,1300000
443,Ayden Heaven,eng ENG,DF,Manchester Utd,18,25000,1300000
444,Diego León,py PAR,DF,Manchester Utd,18,25000,1300000
445,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20,25000,1300000
446,Tyler Fredricson,eng ENG,DF,Manchester Utd,20,25000,1300000
447,Kōta Takai,jp JPN,DF,Tottenham Hotspur,20,25000,1300000
448,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,25000,1300000
449,James Hill,eng ENG,DF,Bournemouth,23,25000,1300000
450,Julian Araujo,mx MEX,DF,Bournemouth,23,25000,1300000
451,Veljko Milosavljević,rs SRB,DF,Bournemouth,18,25000,1300000
452,Ao Tanaka,jp JPN,MF,Leeds United,26,25000,1300000
453,Sam Byram,eng ENG,"DF,MF",Leeds United,31,25000,1300000
454,Freddie Woodman,eng ENG,GK,Liverpool,28,25000,1300000
455,Rio Ngumoha,eng ENG,MF,Liverpool,16,25000,1300000
456,Trey Nyoni,eng ENG,MF,Liverpool,18,25000,1300000
458,Hugo Bueno,es ESP,"MF,DF",Wolves,22,25000,1300000
459,Rodrigo Gomes,pt POR,"MF,FW",Wolves,22,25000,1300000
460,Wilson Isidor,ht HAI,FW,Sunderland,24,25000,1300000
461,Ashley Barnes,eng ENG,"FW,MF",Burnley,35,25000,1300000
462,Hjalmar Ekdal,se SWE,DF,Burnley,26,25000,1300000
464,Max Weiß,de GER,GK,Burnley,21,25000,1300000
465,William Osula,dk DEN,FW,Newcastle United,21,25000,1300000
466,Rico Lewis,eng ENG,DF,Manchester City,20,25000,1300000
467,Gustavo Nunes,br BRA,MF,Brentford,19,25000,1300000
469,Diego Coppola,it ITA,DF,Brighton,21,25000,1300000
470,Diego Gómez,py PAR,"MF,FW",Brighton,22,25000,1300000
471,Jack Hinshelwood,eng ENG,MF,Brighton,20,25000,1300000
472,Adam Aznou,ma MAR,DF,Everton,19,25000,1300000
473,Dwight McNeil,eng ENG,MF,Everton,25,25000,1300000
474,Mark Travers,ie IRL,GK,Everton,26,25000,1300000
475,Jonah Kusi-Asare,se SWE,FW,Fulham,18,25000,1300000
476,Jorge Cuenca,es ESP,DF,Fulham,25,25000,1300000
479,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,21,20000,1040000
480,Eli Junior Kroupi,fr FRA,"MF,FW",Bournemouth,19,20000,1040000
481,Julio Soler,ar ARG,DF,Bournemouth,20,20000,1040000
482,Oliver Scarles,eng ENG,"DF,MF",West Ham United,19,20000,1040000
483,Daniel Bentley,eng ENG,GK,Wolves,32,20000,1040000
484,Sasa Kalajdzic,at AUT,"FW,MF",Wolves,28,20000,1040000
485,Anthony Patterson,eng ENG,GK,Sunderland,25,20000,1040000
486,Dennis Cirkin,lv LVA,DF,Sunderland,23,20000,1040000
488,Luke O'Nien,eng ENG,DF,Sunderland,30,20000,1040000
489,Josh Laurent,eng ENG,"DF,MF",Burnley,30,20000,1040000
491,Zian Flemming,nl NED,FW,Burnley,26,20000,1040000
492,Sepp van den Berg,nl NED,DF,Brentford,23,20000,1040000
493,Jason Steele,eng ENG,GK,Brighton,34,20000,1040000
494,Stefanos Tzimas,gr GRE,FW,Brighton,19,20000,1040000
495,Tom Watson,eng ENG,MF,Brighton,19,20000,1040000
496,Carlos Alcaraz,ar ARG,MF,Everton,22,20000,1040000
497,Tim Iroegbunam,eng ENG,MF,Everton,22,20000,1040000
499,Álex Jiménez,es ESP,"DF,MF",Bournemouth,20,18000,936000
500,Merlin Röhl,de GER,MF,Everton,23,15500,806000
501,Pedro Lima,br BRA,MF,Wolves,19,15000,780000
503,Brandon Austin,eng ENG,GK,Tottenham Hotspur,26,15000,780000
504,Dane Scarlett,eng ENG,FW,Tottenham Hotspur,21,15000,780000
505,Romain Esse,eng ENG,MF,Crystal Palace,20,15000,780000
506,Enes Ünal,tr TUR,FW,Bournemouth,28,15000,780000
507,Ilia Gruev,bg BUL,MF,Leeds United,25,15000,780000
508,Freddie Potts,eng ENG,MF,West Ham United,21,15000,780000
509,George Earthy,eng ENG,MF,West Ham United,20,15000,780000
510,Andrés García,es ESP,DF,Aston Villa,22,15000,780000
511,Samuel Iling-Junior,eng ENG,MF,Aston Villa,21,15000,780000
513,Enso Gonzalez,py PAR,FW,Wolves,20,15000,780000
515,Dan Neil,eng ENG,MF,Sunderland,23,15000,780000
516,Simon Moore,eng ENG,GK,Sunderland,35,15000,780000
519,John Ruddy,eng ENG,GK,Newcastle United,38,15000,780000
520,Mark Gillespie,eng ENG,GK,Newcastle United,33,15000,780000
521,Romelle Donovan,eng ENG,FW,Brentford,18,15000,780000
522,Yunus Emre Konak,tr TUR,MF,Brentford,19,15000,780000
524,Tom McGill,eng ENG,GK,Brighton,25,15000,780000
525,Tom King,wls WAL,GK,Everton,30,15000,780000
528,Christos Mandas,gr GRE,GK,Bournemouth,23,12500,650000
529,Facundo Buonanotte,ar ARG,MF,Leeds United,20,12500,650000
531,Remi Matthews,eng ENG,GK,Crystal Palace,31,12500,650000
532,Carlos Baleba,cm CMR,MF,Brighton,21,12500,650000
533,Zach Abbott,eng ENG,DF,Nottingham Forest,19,12500,650000
534,Václav Hladký,cz CZE,GK,Burnley,35,12000,624000
536,Melker Ellborg,,GK,Sunderland,22,10000,520000
540,Alex Cairns,eng ENG,GK,Leeds United,33,10000,520000
545,Leo Fuhr Hjelde,no NOR,DF,Sunderland,21,10000,520000
546,Romaine Mundle,eng ENG,MF,Sunderland,22,10000,520000
549,Ellery Balcombe,eng ENG,GK,Brentford,25,10000,520000
550,Hákon Valdimarsson,is ISL,GK,Brentford,23,10000,520000
551,Kevin Schade,de GER,"MF,FW",Brentford,23,10000,520000
553,Eric da Silva Moreira,de GER,DF,Nottingham Forest,19,8000,416000
556,Will Dennis,eng ENG,GK,Bournemouth,25,8000,416000
561,Alex Murphy,ie IRL,DF,Newcastle United,21,8000,416000
562,Benjamin Arthur,eng ENG,DF,Brentford,19,8000,416000
563,Yasin Ayari,se SWE,MF,Brighton,21,8000,416000
564,Tyrique George,eng ENG,MF,Everton,19,7500,390000
569,Matthew Cox,eng ENG,GK,Brentford,22,7000,364000
577,Joe Whitworth,,GK,Crystal Palace,21,5000,260000
578,Rio Cardines,tt TRI,MF,Crystal Palace,19,5000,260000
580,Joe Gauci,au AUS,GK,Aston Villa,24,5000,260000
581,Harrison Jones,eng ENG,MF,Sunderland,20,5000,260000
582,Milan Aleksić,rs SRB,FW,Sunderland,19,5000,260000
585,Myles Peart-Harris,eng ENG,MF,Brentford,22,5000,260000
600,Teddy Sharman-Lowe,,GK,Chelsea,22,3000,156000
617,Harvey Davies,eng ENG,GK,Liverpool,22,2000,104000
627,Alfie Pond,eng ENG,DF,Wolves,21,1500,78000
629,Radek Vítek,,GK,Manchester Utd,21,1500,78000
639,Elijah Campbell,eng ENG,DF,Everton,20,1000,52000
642,Elyh Harrison,,GK,Manchester Utd,19,1000,52000
646,Owen Goodman,ca CAN,GK,Crystal Palace,21,1000,52000
656,Lyle Foster,za RSA,"FW,MF",Burnley,24,769,40000
671,Danny Imray,eng ENG,"DF,MF",Crystal Palace,22,400,20800
